start,end,text
0.0,27.36," This is one of network. Welcome to one of yours for Friday, February the 23rd glad you guys are all with us is garnetly and we have two guests with us here in the fabulous fifth floor studios today 40% special guests 40% special guests 60% regular contributors that would be Sean Elliott right over here on my left side"
27.36,30.36, That's all come on
30.36,37.36," Sean Elliott, yes, Maxine and GFW radio people have been waiting for this they've been waiting for Sean Elliott to arrive"
37.36,41.86, They've been a lot of posts on our boards and Neo Gap that are like kids showing on one of yours
41.86,47.760000000000005, This is the most requested crossover. This is like crisis at it's over. It's so big a hang because I was just realizing as I sat down
47.760000000000005,50.760000000000005, That I haven't haven't actually listened to one up yours yet
50.76,55.76," Oh, I hope I know that had you this but you probably wouldn't sign up"
55.76,60.76, Thank God our other guest has listened to one of yours. That's true. He has and he seems to already understand it from the
60.76,68.42, Pre-Show Green Rooming that would be Mitch Gidalman from Faso studio and I am Gittleman. So we're off the road
68.42,70.94, Not special start thank for doing it. I don't really understand
72.94,77.75999999999999," You put the shell like garnet's got to miss something up. Yeah, he's wrong about something 10 seconds in this time"
77.76,80.56," That's awesome. We're on a roll. Oh, I'm a fucking anyway"
81.48,86.86, Already already pratted out by Luke to great yay. Thanks. I'm here. Shane's here
86.86,91.88000000000001, I am and for once he won't be bitching about being on deadline or anything right I'm not even a special guest anymore
93.24000000000001,97.28," Wow, he finally fucking admitted he's not a special guest. What do you know?"
98.04,103.80000000000001," Surprise shocking all so the by the way, we're supposed to tell you that the this episode has been"
104.72,106.72, Made without compromise
106.72,110.86, And just leave that for you as always as always made without compromise
110.86,115.32, So we're gonna do the regular show lines today. We have in the first segment we do in what you've been playing with the you know
115.32,118.44, Sean of course playing some PC stuff since we never cover PC
118.44,120.84, You know with Sean it's more like what you've been griefing
122.4,127.84, I play console games too though. That's something we got a clear of Shane used to be changed co-worker at EGM and it's true
127.84,130.12, I remember I like to just change jobs
130.12,132.36," No, I can't play any capital game thing anymore"
132.64000000000001,136.68, I recall assigning you amazing games such as Drake in the 99 dragons
139.0,144.4, All the favorites while he was a fucking generous guy was a pretty nice pretty nice nice in the second segment
144.4,147.92000000000002," Of course, Mitch is here for a little foster studio's little shadow run talk"
147.92000000000002,152.68, But we're also gonna parade him about whatever else they might be up to and designing games and whatever else
152.68,156.76000000000002," They're trouble we can get help to it. I'll be like in interview segment that doesn't stink. Yeah, I don't like"
156.76000000000002,158.76000000000002, I'm not already people are like oh
158.76,159.76, Doing in a
159.76,163.56, Rear skipping second segment going to news. Whatever. Skip it. Thanks
164.44,169.2, Glad I could fly down for this skip it. This is your fucking loss. I don't care anyway
169.2,171.2, We can get me fired
171.2,173.2, I bet we can actually
173.2,177.07999999999998, Thank we also have Michael Wolf over here in the corner. That's pretty cool. I mean
177.07999999999998,181.12," He's like he's the handler. Yes, well not only is he the handler, but so here's a funny story"
181.12,185.92, I got to throw in here first thing and because my very first like real interview to get into this business
185.92,190.48, In 1997 with PC gamer and all their Michael really probably doesn't remember it
190.48,193.04," Although I think he kind of said oh, I don't think you're really a risen"
193.23999999999998,196.44, So the guy the what was Matt's title at the time was he
197.07999999999998,202.64, He was publisher of it. So Matt firm had me out to interview for PC gamer in 1997 and like their interview
202.64,208.07999999999998, They could cut it down to two guys me and one other guy know I didn't get the job and and the interview was
208.27999999999997,215.04, Spend the whole day with Matt having Matt like drag you into interviews and like grill you and then take you out and give you to a person in the staff for like an hour
215.04,218.51999999999998, For them to go why the fuck is this person hanging out with me today for an hour
218.51999999999998,223.01999999999998, And I got with Michael for an hour and he was pretty much like why the fuck is this guy hanging out with me for an hour
223.01999999999998,226.48, But it was pretty cool. Didn't you not get that job because you like new too much or something
230.04,234.68," You had you heard the story, man. No, I didn't hear the story, but just the idea of Michael knowing too much"
234.68,239.72, I might have heard a garden with no too much for sure the end of the story was for the reason
239.72,244.62, The reason that they told me that I didn't get the job was because I was too enthusiastic to be taken seriously
245.04,247.04, Are you serious?
247.04,248.04, Damn
248.04,255.79999999999998," These are the attic. I don't know that seems pretty rare to hear in the enthusiast period things, so right, but I would I would like to"
256.32,259.76," The industry where we could say those sorts of things, but I don't know that one exists"
260.03999999999996,263.28," Yeah, but you got to know like 97 there was like that whole era of"
263.28,267.34, We'd be taken seriously and and we're PC gaming and a piece of games
