start,end,text
0.0,6.4," Hey there, this is American McGee. Welcome you to American McGee's GFW"
6.4,10.16," Brodyo, presented by American McGee."
10.16,13.64, Well done guys.
13.64,14.64," Right, American McGee."
14.64,15.64, Yeah.
15.64,16.64, Killin it.
16.64,17.64," Sorry, it was a bit."
17.64,18.64, Thank you for presenting us.
18.64,20.12, That's quite all right.
20.12,21.44, That's what I'm here for.
21.44,24.64," And by the way, this might be an indicator that you suck."
24.64,26.64, So watch out.
26.64,29.48, People might be turning off the radio right now.
29.48,30.48, Yeah.
30.48,31.48, Where's that?
31.48,32.480000000000004, Oh wow.
32.480000000000004,33.480000000000004, Yeah.
33.480000000000004,34.480000000000004, You got some self-esteem issues there.
34.480000000000004,35.480000000000004," Hey, you know."
35.480000000000004,36.480000000000004, It's okay.
36.480000000000004,38.480000000000004, I did something bad.
38.480000000000004,40.480000000000004," You know, got some making up to do."
40.480000000000004,41.480000000000004, Yeah.
41.480000000000004,42.480000000000004, What was the bad that you did?
42.480000000000004,45.480000000000004," Well, I think we all know what the bad was."
45.480000000000004,47.480000000000004, And it was the bad daily.
47.480000000000004,51.480000000000004," Yeah, you know, when we walked in here in the studio, I said, the last time I saw you"
51.480000000000004,53.480000000000004, bad daily was a gleam in your eye.
53.480000000000004,57.480000000000004," Yeah, and I said, I wish it had stayed there."
57.48,59.48," Yeah, you're so hard in yourself."
59.48,60.48, Yeah.
60.48,64.47999999999999," Well, you know, I've been told by a number of people that, you know, we all make mistakes."
64.47999999999999,66.47999999999999, And it happens.
66.47999999999999,67.47999999999999," And, uh, and sure."
67.47999999999999,70.47999999999999," But, um, at the same time, it did suck."
70.47999999999999,73.47999999999999," And it was, and a lot of ways kind of a sucky experience."
73.47999999999999,75.47999999999999," But, um, so, do you actually feel like it sucked?"
75.47999999999999,76.47999999999999," I mean, does that how you feel personally?"
76.47999999999999,79.47999999999999, I feel like I feel like I feel like I feel like the execution of it.
79.47999999999999,80.47999999999999," Obviously was, was pretty lacking."
80.47999999999999,82.47999999999999, We thought we started off with a fun idea.
82.47999999999999,86.47999999999999," Um, and we thought that the idea of lampooning American fear culture had some"
86.48,88.48, merit to it.
88.48,92.48," Um, I think looking back on that, the truth is we don't want to make fun of ourselves."
92.48,98.48, And about an issue as delicate and obviously still heated as that one in particular.
98.48,101.48, People have a hard time finding humor in it.
101.48,105.48," And at least, uh, you know, in the way that I wrote it."
105.48,107.48," That's, you know, let's put it that way."
107.48,109.48," Um, but I think the concept has some merit."
109.48,112.48," I just saw that there's this trailer for a movie called Handcock, which is, uh,"
112.48,117.48, Will Smith as a homeless superhero living on the streets of Los Angeles.
117.48,118.48, Wow.
118.48,121.48," So, you know, there might be something there."
121.48,123.48," Um, it was a copy right to lawsuit, maybe."
123.48,125.48," Nah, that's totally cool."
125.48,126.48, Give me the timing.
126.48,127.48, Which is just off.
127.48,128.48000000000002," Well, there was a lot of people here."
128.48000000000002,129.48000000000002, There was a lot off.
129.48000000000002,132.48000000000002," Um, you know, I started writing up this post about what went wrong."
132.48000000000002,136.48000000000002," Um, and one thing that went wrong was the, this technology we were using."
136.48000000000002,138.48000000000002," Uh, these guys, it was fifth generation."
138.48,145.48," And it had started off as a 2D top down engine, uh, which that company had used to do simulation"
145.48,149.48," games, um, to the effect of like a theme park simulator, that kind of stuff."
149.48,151.48, And it had gone through these iterations.
151.48,156.48," And, you know, at one point it was a Joan of Arc game, 3D isometric view."
156.48,159.48," And then when we got our hands on it, they said, yeah, yeah, fine."
159.48,163.48," We'll repurpose this little become your 3D, you know, 3rd person run around adventure game."
163.48,166.48," And, you know, there were times when we were trying to tune the NPCs."
166.48,167.48," And I'd say, what's that guy doing?"
167.48,169.48," And they'd be like, oh, he's trying to feed the dolphins."
169.48,172.48," You know, he's over by a tree in the middle of Los Angeles."
172.48,174.48," And, wow, okay."
174.48,179.98," So there was a lot of legacy stuff in this, um, you know, one of the goals there was that we were"
179.98,184.48, going to make this thing on the cheap and ended up being that the whole game cost less than a million bucks.
184.48,188.48," We were trying to market it as this sort of casual, fun, you know, silly thing."
188.48,192.48," And I think that the market kind of said, now we're expecting the next Alice."
192.48,195.48," And so you made that in Hong Kong, right?"
195.48,196.48, That's right.
196.48,200.48," So I mean, were you already feeling like a cultural outsider to America at the time?"
200.48,203.48, And was that part of the thematic thing?
203.48,209.48," And then also is this refurbished over and over again, engine was that something unique to Hong"
209.48,210.48, Development at the time?
210.48,213.48, Or is that pretty common throughout game design across the world?
213.48,216.48," Uh, so the first question was I feeling alienating?"
216.48,218.48," Yeah, were you feeling like an outsider already?"
218.48,222.48," I mean, you're talking about, you know, maybe maybe it wasn't the right time or the,"
222.48,227.48," necessarily the right approach in your sort of, you know, parody, right of, you know, Western"
227.48,229.48, Cultures of fear.
229.48,234.48," And I mean, do you think it, I mean, had you been overseas long enough where, you know, you were like,"
234.48,239.48," Looking back and you're, where you had come from with a different point of view of that?"
239.48,245.48," Well, I think before I went to Hong Kong, I already had this outside point of view in politics that"
245.48,248.48, really did have something to do with my leaving at that time.
248.48,249.48, I was really fed up.
249.48,254.48, I kind of couldn't understand why people didn't see what seemed to be so obvious at that
254.48,259.48," time about where the world was, where the US was in its place in the world."
259.48,264.48," Um, and so I thought this was something we could try to present as a game."
264.48,268.48," Um, being there in Hong Kong didn't really have an effect on it."
268.48,273.48," Although while I was making it, I was concerned that people would say, well, you ran away to Hong Kong"
273.48,275.48, to make this statement about the place you came from.
275.48,280.48," Although, I think because of my name, people don't generally, people question."
280.48,287.48," Um, yeah, I was joking with my friend RJ was the executive producer on Alice about the name thing."
287.48,292.48," I was saying maybe when I retire from games, I can go into politics because it's so childish these days,"
292.48,297.48, the way politics and the state's work that I could probably go quite far with this silly name.
297.48,298.48, Right.
298.48,302.48," And when people try to question my loyalty to the state, I'd be like, hey, my name's American."
302.48,303.48," What's your name, buddy?"
303.48,307.48," Yeah, you know, just end it right there. What you're American."
307.48,314.48, I was looking at the San Francisco Chronicle the other day and there was this little article on this dude is local barrier guy
314.48,318.48, who's running for office for a small office and his name is Joe Nation.
318.48,319.48, There you go.
319.48,323.48, And I thought this guy is a winner and he looks like Joe nation.
323.48,325.48, Who would have vote for Joe nation?
325.48,326.48, So me.
326.48,331.48, It's the same time we have a Barack Obama as a presidential candidate.
